x,cloudletId,startTime,finishTime,cost
1024,4.0,0.0,160.0,76.0
1024,6.0,0.0,160.0,76.0
1024,8.0,0.0,160.0,76.0
1024,10.0,0.0,160.0,76.0
1024,12.0,0.0,160.0,76.0
1024,14.0,0.0,160.0,76.0
1024,16.0,0.0,160.0,76.0
1024,18.0,0.0,160.0,76.0
1024,20.0,0.0,160.0,76.0
1024,22.0,0.0,160.0,76.0
1024,24.0,0.0,160.0,76.0
1024,26.0,0.0,160.0,76.0
1024,28.0,0.0,160.0,76.0
1024,30.0,0.0,160.0,76.0
1024,32.0,0.0,160.0,76.0
1024,34.0,0.0,160.0,76.0
1024,36.0,0.0,160.0,76.0
1024,38.0,0.0,160.0,76.0
1024,40.0,0.0,160.0,76.0
1024,42.0,0.0,160.0,76.0
1024,44.0,0.0,160.0,76.0
1024,46.0,0.0,160.0,76.0
1024,48.0,0.0,160.0,76.0
1024,50.0,0.0,160.0,76.0
1024,52.0,0.0,160.0,76.0
1024,54.0,0.0,160.0,76.0
1024,56.0,0.0,160.0,76.0
1024,58.0,0.0,160.0,76.0
1024,60.0,0.0,160.0,76.0
1024,62.0,0.0,160.0,76.0
1024,64.0,0.0,160.0,76.0
1024,66.0,0.0,160.0,76.0
1536,11.0,0.0,160.0,76.0
1536,13.0,0.0,160.0,76.0
1536,15.0,0.0,160.0,76.0
1536,17.0,0.0,160.0,76.0
1536,19.0,0.0,160.0,76.0
1536,21.0,0.0,160.0,76.0
1536,23.0,0.0,160.0,76.0
1536,25.0,0.0,160.0,76.0
1536,27.0,0.0,160.0,76.0
1536,29.0,0.0,160.0,76.0
1536,31.0,0.0,160.0,76.0
1536,33.0,0.0,160.0,76.0
1536,35.0,0.0,160.0,76.0
1536,37.0,0.0,160.0,76.0
1536,39.0,0.0,160.0,76.0
1536,41.0,0.0,160.0,76.0
1536,43.0,0.0,160.0,76.0
1536,45.0,0.0,160.0,76.0
1536,47.0,0.0,160.0,76.0
1536,49.0,0.0,160.0,76.0
1536,51.0,0.0,160.0,76.0
1536,53.0,0.0,160.0,76.0
1536,55.0,0.0,160.0,76.0
1536,57.0,0.0,160.0,76.0
1536,10.0,0.0,160.0,76.0
1536,12.0,0.0,160.0,76.0
1536,14.0,0.0,160.0,76.0
1536,16.0,0.0,160.0,76.0
1536,18.0,0.0,160.0,76.0
1536,20.0,0.0,160.0,76.0
1536,22.0,0.0,160.0,76.0
1536,24.0,0.0,160.0,76.0
1536,26.0,0.0,160.0,76.0
1536,28.0,0.0,160.0,76.0
1536,30.0,0.0,160.0,76.0
1536,32.0,0.0,160.0,76.0
1536,34.0,0.0,160.0,76.0
1536,36.0,0.0,160.0,76.0
1536,38.0,0.0,160.0,76.0
